MYNamespaceID,MYObjectID,MZDateEdited,MYCollectionID,MYDatasetID[0],MYDatasetID[1],MYDatasetID[2],MYDatasetID[3],MYDatasetID[4],MYDatasetID[5],MYStatus,MYOriginalSpecimenID,MYVerificationStatus[0],MYDocumentLocation,MYPublication[0],MYPublication[1],MYSeparatedFrom,MYPreservation[0],MYPreservation[1],MYLanguage,MYDNASampleLocation,MYGathering[0][MYLeg][0],MYGathering[0][MYDateBegin],MYGathering[0][MYDateEnd],MYGathering[0][MYHabitatDescription],MYGathering[0][MYNotes],MYGathering[0][MYLatitude],MYGathering[0][MYLongitude],MYGathering[0][MYCoordinateSystem],MYGathering[0][MYCoordinateSource],MYGathering[0][MYAlt],MYGathering[0][MYCoordinateNotes],MYGathering[0][MYCountry],MYGathering[0][MYAdministrativeProvince],MYGathering[0][MYDateVerbatim],MYGathering[0][MYMunicipality],MYGathering[0][MYLocality],MYGathering[0][MYSamplingMethod],MYGathering[0][MYLocalityDescription],MYGathering[0][MYCollectingEventName],MYGathering[0][MYUnit][0][MYRecordBasis],MYGathering[0][MYUnit][0][MYLifeStage],MYGathering[0][MYUnit][0][MYSex],MYGathering[0][MYUnit][0][MYNotes],MYGathering[0][MYUnit][0][MYCount],MYGathering[0][MYUnit][0][MYMacroscopy],MYGathering[0][MYUnit][0][MYMeasurement][MYBodyMillimeters][0],MYGathering[0][MYUnit][0][MYIdentification][0][MYTaxonRank],MYGathering[0][MYUnit][0][MYIdentification][0][MYTaxon],MYGathering[0][MYUnit][0][MYIdentification][0][MYAuthor],MYGathering[0][MYUnit][0][MYIdentification][0][MYDet],MYGathering[0][MYUnit][0][MYTypeSpecimen][0][MYTypeStatus],MYGathering[0][MYUnit][0][MYTypeSpecimen][0][MYTypeSpecies],MYGathering[0][MYUnit][0][MYTypeSpecimen][0][MYTypeAuthor],MYGathering[0][MYUnit][0][MYTypeSpecimen][0][MYTypifDate],MYGathering[0][MYUnit][0][MYTypeSpecimen][0][MYTypeVerification],MYGathering[0][MYUnit][0][MYTypeSpecimen][0][MYTypeBasionymePubl],MYGathering[0][MYUnit][0][MYTypeSpecimen][0][MYTypePubl]
utu:ZMUT,2646,2022-07-24T22:07:42+0300,HR.1648,GX.1930,GX.1931,GX.1965,GX.1988,GX.1998,,Ok,,Ok,172/20/BOX8,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.K31T4-150716,Pinned,,english,,"Hopkins, Tapani",02.07.2015,16.07.2015,"Medium altitude moist evergreen forest, presumably primary forest (in an area of mixed primary and disturbed forest). 

Trap site description:
Closed canopy but short stature forest, next to an open and extremely densely overgrown patch. Trap was near the edge of the forest. 

Original trap site description (verbatim as written in Uganda 2014): 
Near K31-08 trap site. Border between closed canopy forest (Olea, Uvaopsis?, several quite large trees) and more open K13 type forest with flourishing undergrowth (K31-08 was in the open canopy forest). There is a path that crosses the border, and the trap spans this (at the border though perhaps more to the closed canopy side). We cleared the path somewhat to the open canopy side. K31 slope.",,0.536218,30.348649,Wgs84,Gps,1462.587524,,Uganda,Kabarole district,02.07.2015 11:02 - 16.07.2015 11:21,Fort Portal,Kibale National Park,Malaise,"Site K31, Malaise trap K31T4, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,,1,,,species,Epirhyssa uelensis,"Benoit, 1951","Hopkins, Tapani",,,,,,,
utu:ZMUT,2647,2022-07-24T22:07:37+0300,HR.1648,GX.1930,GX.1931,GX.1965,GX.1988,GX.1998,,Ok,,Ok,172/20/BOX7,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.K31T4-150716,Pinned,,english,,"Hopkins, Tapani",02.07.2015,16.07.2015,"Medium altitude moist evergreen forest, presumably primary forest (in an area of mixed primary and disturbed forest). 

Trap site description:
Closed canopy but short stature forest, next to an open and extremely densely overgrown patch. Trap was near the edge of the forest. 

Original trap site description (verbatim as written in Uganda 2014): 
Near K31-08 trap site. Border between closed canopy forest (Olea, Uvaopsis?, several quite large trees) and more open K13 type forest with flourishing undergrowth (K31-08 was in the open canopy forest). There is a path that crosses the border, and the trap spans this (at the border though perhaps more to the closed canopy side). We cleared the path somewhat to the open canopy side. K31 slope.",,0.536218,30.348649,Wgs84,Gps,1462.587524,,Uganda,Kabarole district,02.07.2015 11:02 - 16.07.2015 11:21,Fort Portal,Kibale National Park,Malaise,"Site K31, Malaise trap K31T4, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,M,,1,,,species,Epirhyssa ghesquierei,"Seyrig, 1937","Hopkins, Tapani",,,,,,,
utu:ZMUT,2648,2022-07-24T22:07:42+0300,HR.1648,GX.1930,GX.1931,GX.1965,GX.1988,GX.1998,,Ok,,Ok,172/20/BOX8,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.K31T4-150716,Pinned,,english,,"Hopkins, Tapani",02.07.2015,16.07.2015,"Medium altitude moist evergreen forest, presumably primary forest (in an area of mixed primary and disturbed forest). 

Trap site description:
Closed canopy but short stature forest, next to an open and extremely densely overgrown patch. Trap was near the edge of the forest. 

Original trap site description (verbatim as written in Uganda 2014): 
Near K31-08 trap site. Border between closed canopy forest (Olea, Uvaopsis?, several quite large trees) and more open K13 type forest with flourishing undergrowth (K31-08 was in the open canopy forest). There is a path that crosses the border, and the trap spans this (at the border though perhaps more to the closed canopy side). We cleared the path somewhat to the open canopy side. K31 slope.",,0.536218,30.348649,Wgs84,Gps,1462.587524,,Uganda,Kabarole district,02.07.2015 11:02 - 16.07.2015 11:21,Fort Portal,Kibale National Park,Malaise,"Site K31, Malaise trap K31T4, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,,1,,,species,Epirhyssa uelensis,"Benoit, 1951","Hopkins, Tapani",,,,,,,
utu:ZMUT,2657,2022-07-24T22:04:49+0300,HR.1648,GX.1930,GX.1931,GX.1965,GX.1988,GX.1998,,Ok,,Ok,172/20/BOX1,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.K31T4-150716,Pinned,,english,,"Hopkins, Tapani",02.07.2015,16.07.2015,"Medium altitude moist evergreen forest, presumably primary forest (in an area of mixed primary and disturbed forest). 

Trap site description:
Closed canopy but short stature forest, next to an open and extremely densely overgrown patch. Trap was near the edge of the forest. 

Original trap site description (verbatim as written in Uganda 2014): 
Near K31-08 trap site. Border between closed canopy forest (Olea, Uvaopsis?, several quite large trees) and more open K13 type forest with flourishing undergrowth (K31-08 was in the open canopy forest). There is a path that crosses the border, and the trap spans this (at the border though perhaps more to the closed canopy side). We cleared the path somewhat to the open canopy side. K31 slope.",,0.536218,30.348649,Wgs84,Gps,1462.587524,,Uganda,Kabarole district,02.07.2015 11:02 - 16.07.2015 11:21,Fort Portal,Kibale National Park,Malaise,"Site K31, Malaise trap K31T4, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,M,,1,,,species,Epirhyssa quagga,"Hopkins et al., 2019","Hopkins, Tapani",,,,,,,
utu:ZMUT,2706,2022-07-24T22:05:19+0300,HR.1648,GX.1930,GX.1931,GX.1959,GX.1986,GX.1998,,Ok,,Ok,172/20/BOX2,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.CCT3-150324,Pinned,,english,,"Hopkins, Tapani",10.03.2015,24.03.2015,"Medium altitude moist evergreen forest, primary forest with minimal disturbance (2-3 trees / km2 logged before 1970). 

Trap site description:
Small stream cutting through the forest. Lots of light and dense undergrowth lining the stream. Gravel, rocks and red clay underfoot.

Original trap site description (verbatim as written in Uganda 2014): 
CC river. By side of sandgravel river lined by tall vegetation, there is a passage going from the river up the slope and the trap spans this, so it will catch insects following the passage and insects following the river.Trees include a tall Neuboutonia. This is also waypoint 190: CC river. There is a rock/gravel stream which the trail runs along, and a space to the side which would be ideal for a trap. And there's even a passage in the vegetation running up the slope that leads insects to the same place. Forest nearby has lots of saplings and undergrowth, looks as if lots of trees have fallen and made space. Insects seen and two ichnos caught. Very diverse vegetation. Photo taken.",,0.548054,30.370959,Wgs84,Gps,1439.486328,,Uganda,Kabarole district,10.03.2015 09:30 - 24.03.2015 09:30,Fort Portal,Kibale National Park,Malaise,"Site CC, Malaise trap CCT3, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,,1,,,species,Epirhyssa overlaeti,"Seyrig, 1937","Hopkins, Tapani",,,,,,,
utu:ZMUT,2724,2022-07-24T22:05:19+0300,HR.1648,GX.1930,GX.1931,GX.1956,GX.1985,GX.1998,,Ok,,Ok,172/20/BOX2,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.K30ST3-150811,Pinned,,english,,"Hopkins, Tapani",28.07.2015,11.08.2015,"Medium altitude moist evergreen forest, primary forest with minimal disturbance (2-3 trees / km2 logged before 1970). 

Trap site description:
Closed canopy forest with little undergrowth. Red clay underfoot. Trap was next to a fallen decomposing tree trunk (Olea capensis 49cm diameter).

Original trap site description (verbatim as written in Uganda 2014): 
K30S slopes. Red exposed clay underfoot and several fallen rotting trees, many quite decomposed. The trap is touching a fallen tree trunk (partly solid but old) and stretches outward. Afromamum etc undergrowth which is surprisingly sparse, the site is quite shaded. This is also waypoint 216: More closed canopy than 215, similar to many northern K30 sites. K30S slopes. Fallen rotting trees. Icheumonid (A234) caught here. Trap here! Photos taken",,0.537762,30.377692,Wgs84,Gps,1483.817505,,Uganda,Kabarole district,28.07.2015 09:43 - 11.08.2015 11:26,Fort Portal,Kibale National Park,Malaise,"Site K30S, Malaise trap K30ST3, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,,1,,,species,Epirhyssa overlaeti,"Seyrig, 1937","Hopkins, Tapani",,,,,,,
utu:ZMUT,2799,2022-07-24T22:07:31+0300,HR.1648,GX.1930,GX.1931,GX.1965,GX.1988,GX.1998,,Ok,,Ok,172/20/BOX5,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.K31T4-150817,Pinned,,english,,"Hopkins, Tapani",30.07.2015,17.08.2015,"Medium altitude moist evergreen forest, presumably primary forest (in an area of mixed primary and disturbed forest). 

Trap site description:
Closed canopy but short stature forest, next to an open and extremely densely overgrown patch. Trap was near the edge of the forest. 

Original trap site description (verbatim as written in Uganda 2014): 
Near K31-08 trap site. Border between closed canopy forest (Olea, Uvaopsis?, several quite large trees) and more open K13 type forest with flourishing undergrowth (K31-08 was in the open canopy forest). There is a path that crosses the border, and the trap spans this (at the border though perhaps more to the closed canopy side). We cleared the path somewhat to the open canopy side. K31 slope.",,0.536218,30.348649,Wgs84,Gps,1462.587524,,Uganda,Kabarole district,30.07.2015 10:19 - 17.08.2015 09:40,Fort Portal,Kibale National Park,Malaise,"Site K31, Malaise trap K31T4, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,,1,,,species,Epirhyssa ghesquierei,"Seyrig, 1937","Hopkins, Tapani",,,,,,,
utu:ZMUT,2803,2022-07-24T22:04:49+0300,HR.1648,GX.1930,GX.1931,GX.1965,GX.1988,GX.1998,,Ok,,Ok,172/20/BOX1,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.K31T4-150817,Pinned,,english,,"Hopkins, Tapani",30.07.2015,17.08.2015,"Medium altitude moist evergreen forest, presumably primary forest (in an area of mixed primary and disturbed forest). 

Trap site description:
Closed canopy but short stature forest, next to an open and extremely densely overgrown patch. Trap was near the edge of the forest. 

Original trap site description (verbatim as written in Uganda 2014): 
Near K31-08 trap site. Border between closed canopy forest (Olea, Uvaopsis?, several quite large trees) and more open K13 type forest with flourishing undergrowth (K31-08 was in the open canopy forest). There is a path that crosses the border, and the trap spans this (at the border though perhaps more to the closed canopy side). We cleared the path somewhat to the open canopy side. K31 slope.",,0.536218,30.348649,Wgs84,Gps,1462.587524,,Uganda,Kabarole district,30.07.2015 10:19 - 17.08.2015 09:40,Fort Portal,Kibale National Park,Malaise,"Site K31, Malaise trap K31T4, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,M,,1,,,species,Epirhyssa quagga,"Hopkins et al., 2019","Hopkins, Tapani",,,,,,,
utu:ZMUT,2856,2022-07-24T22:05:20+0300,HR.1648,GX.1930,GX.1931,GX.1965,GX.1988,GX.1998,,Ok,,Ok,172/20/BOX2,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.K31T4-150213,Pinned,,english,,"Hopkins, Tapani",30.01.2015,13.02.2015,"Medium altitude moist evergreen forest, presumably primary forest (in an area of mixed primary and disturbed forest). 

Trap site description:
Closed canopy but short stature forest, next to an open and extremely densely overgrown patch. Trap was near the edge of the forest. 

Original trap site description (verbatim as written in Uganda 2014): 
Near K31-08 trap site. Border between closed canopy forest (Olea, Uvaopsis?, several quite large trees) and more open K13 type forest with flourishing undergrowth (K31-08 was in the open canopy forest). There is a path that crosses the border, and the trap spans this (at the border though perhaps more to the closed canopy side). We cleared the path somewhat to the open canopy side. K31 slope.",,0.536218,30.348649,Wgs84,Gps,1462.587524,,Uganda,Kabarole district,30.01.2015 10:13 - 13.02.2015 09:26,Fort Portal,Kibale National Park,Malaise,"Site K31, Malaise trap K31T4, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,,1,,,species,Epirhyssa overlaeti,"Seyrig, 1937","Hopkins, Tapani",,,,,,,
utu:ZMUT,2878,2022-07-24T22:07:42+0300,HR.1648,GX.1930,GX.1931,GX.1965,GX.1988,GX.1998,,Ok,,Ok,172/20/BOX8,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.K31T4-150213,Pinned,,english,,"Hopkins, Tapani",30.01.2015,13.02.2015,"Medium altitude moist evergreen forest, presumably primary forest (in an area of mixed primary and disturbed forest). 

Trap site description:
Closed canopy but short stature forest, next to an open and extremely densely overgrown patch. Trap was near the edge of the forest. 

Original trap site description (verbatim as written in Uganda 2014): 
Near K31-08 trap site. Border between closed canopy forest (Olea, Uvaopsis?, several quite large trees) and more open K13 type forest with flourishing undergrowth (K31-08 was in the open canopy forest). There is a path that crosses the border, and the trap spans this (at the border though perhaps more to the closed canopy side). We cleared the path somewhat to the open canopy side. K31 slope.",,0.536218,30.348649,Wgs84,Gps,1462.587524,,Uganda,Kabarole district,30.01.2015 10:13 - 13.02.2015 09:26,Fort Portal,Kibale National Park,Malaise,"Site K31, Malaise trap K31T4, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,,1,antenna segments: 30; T1: 1.3,9.8,species,Epirhyssa uelensis,"Benoit, 1951","Hopkins, Tapani",,,,,,,
utu:ZMUT,2887,2022-07-24T22:07:42+0300,HR.1648,GX.1930,GX.1931,GX.1965,GX.1988,GX.1998,,Ok,,Ok,172/20/BOX8,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.K31T4-150213,Pinned,,english,,"Hopkins, Tapani",30.01.2015,13.02.2015,"Medium altitude moist evergreen forest, presumably primary forest (in an area of mixed primary and disturbed forest). 

Trap site description:
Closed canopy but short stature forest, next to an open and extremely densely overgrown patch. Trap was near the edge of the forest. 

Original trap site description (verbatim as written in Uganda 2014): 
Near K31-08 trap site. Border between closed canopy forest (Olea, Uvaopsis?, several quite large trees) and more open K13 type forest with flourishing undergrowth (K31-08 was in the open canopy forest). There is a path that crosses the border, and the trap spans this (at the border though perhaps more to the closed canopy side). We cleared the path somewhat to the open canopy side. K31 slope.",,0.536218,30.348649,Wgs84,Gps,1462.587524,,Uganda,Kabarole district,30.01.2015 10:13 - 13.02.2015 09:26,Fort Portal,Kibale National Park,Malaise,"Site K31, Malaise trap K31T4, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,,1,,,species,Epirhyssa uelensis,"Benoit, 1951","Hopkins, Tapani",,,,,,,
utu:ZMUT,2906,2022-07-24T22:06:59+0300,HR.1648,GX.1930,GX.1931,GX.1969,GX.1989,GX.1998,,Ok,,Ok,172/20/BOX4,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.K15T4-141215,Pinned,,english,,"Hopkins, Tapani",01.12.2014,15.12.2014,"Medium altitude moist evergreen forest, disturbed forest (40% basal area logged 1968-1969). 

Trap site description:
Disturbed forest with tall reasonably closed canopy. Moderate undergrowth. Trap spans a narrow long gap in the canopy.

Original trap site description (verbatim as written in Uganda 2014): 
This is the same site as K15-17, but the trap is some metres from that of 2011. There is a natural, long and quite wide gap running north, with a small tree (or possibly branch) along part of its length. May have formed when a tree fell. The trap spans this gap, so that insects flying along the east side of the fallen trunk (which butterflies were doing in large numbers) will go straight in the trap. Once we put the trap up they seemed not to fly there though, so it may be too visible an obstacle (or the lighting etc may have changed). I caught an ichneumonid here, A11.",,0.584511,30.367429,Wgs84,Gps,1505.809692,,Uganda,Kabarole district,01.12.2014 09:42 - 15.12.2014 10:48,Fort Portal,Kibale National Park,Malaise,"Site K15, Malaise trap K15T4, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,M,,1,,,species,Epirhyssa overlaeti,"Seyrig, 1937","Hopkins, Tapani",,,,,,,
utu:ZMUT,2910,2022-07-24T22:07:42+0300,HR.1648,GX.1930,GX.1931,GX.1969,GX.1989,GX.1998,,Ok,,Ok,172/20/BOX8,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.K15T4-141215,Pinned,,english,,"Hopkins, Tapani",01.12.2014,15.12.2014,"Medium altitude moist evergreen forest, disturbed forest (40% basal area logged 1968-1969). 

Trap site description:
Disturbed forest with tall reasonably closed canopy. Moderate undergrowth. Trap spans a narrow long gap in the canopy.

Original trap site description (verbatim as written in Uganda 2014): 
This is the same site as K15-17, but the trap is some metres from that of 2011. There is a natural, long and quite wide gap running north, with a small tree (or possibly branch) along part of its length. May have formed when a tree fell. The trap spans this gap, so that insects flying along the east side of the fallen trunk (which butterflies were doing in large numbers) will go straight in the trap. Once we put the trap up they seemed not to fly there though, so it may be too visible an obstacle (or the lighting etc may have changed). I caught an ichneumonid here, A11.",,0.584511,30.367429,Wgs84,Gps,1505.809692,,Uganda,Kabarole district,01.12.2014 09:42 - 15.12.2014 10:48,Fort Portal,Kibale National Park,Malaise,"Site K15, Malaise trap K15T4, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,,1,,,species,Epirhyssa uelensis,"Benoit, 1951","Hopkins, Tapani",,,,,,,
utu:ZMUT,2985,2022-07-24T22:05:20+0300,HR.1648,GX.1930,GX.1931,GX.1956,GX.1985,GX.1998,,Ok,,Ok,172/20/BOX2,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.K30ST3-150407,Pinned,,english,,"Hopkins, Tapani",24.03.2015,07.04.2015,"Medium altitude moist evergreen forest, primary forest with minimal disturbance (2-3 trees / km2 logged before 1970). 

Trap site description:
Closed canopy forest with little undergrowth. Red clay underfoot. Trap was next to a fallen decomposing tree trunk (Olea capensis 49cm diameter).

Original trap site description (verbatim as written in Uganda 2014): 
K30S slopes. Red exposed clay underfoot and several fallen rotting trees, many quite decomposed. The trap is touching a fallen tree trunk (partly solid but old) and stretches outward. Afromamum etc undergrowth which is surprisingly sparse, the site is quite shaded. This is also waypoint 216: More closed canopy than 215, similar to many northern K30 sites. K30S slopes. Fallen rotting trees. Icheumonid (A234) caught here. Trap here! Photos taken",,0.537762,30.377692,Wgs84,Gps,1483.817505,,Uganda,Kabarole district,24.03.2015 10:30 - 07.04.2015 10:30,Fort Portal,Kibale National Park,Malaise,"Site K30S, Malaise trap K30ST3, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,,1,,,species,Epirhyssa overlaeti,"Seyrig, 1937","Hopkins, Tapani",,,,,,,
utu:ZMUT,3010,2022-07-24T22:07:32+0300,HR.1648,GX.1930,GX.1931,GX.1960,GX.1987,GX.1998,,Ok,,Ok,172/20/BOX5,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.HILLT1-150423,Pinned,,english,,"Hopkins, Tapani",09.04.2015,23.04.2015,"Medium altitude moist evergreen forest, primary forest with minimal disturbance (2-3 trees / km2 logged before 1970). 

Trap site description:
Primary forest at higher elevation. Drier than the lower elevation forest. Rocks, gravel and red clay underfoot.

Original trap site description (verbatim as written in Uganda 2014): 
K30 hill top. This and trap HILLT2 were originally going to go by CC and K30S respectively, but those had no hill tops findable. Fallen tree with lots of branches and even leaves, quite a tangle. The insects seem to fly along the tree's trunk, so the trap is near the base of the trunk touching it and cutting their path. Gravelly and rocky soil, so much so it was hard to get pegs in. A Rhyssinae was caught here the previous week, when landed on one of the nearby fallen branches / trees (A267).",,0.548582,30.361364,Wgs84,Gps,1517.241577,,Uganda,Kabarole district,09.04.2015 11:30 - 23.04.2015 11:30,Fort Portal,Kibale National Park,Malaise,"Site HILL, Malaise trap HILLT1, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,,1,,,species,Epirhyssa ghesquierei,"Seyrig, 1937","Hopkins, Tapani",,,,,,,
utu:ZMUT,3022,2022-07-24T22:07:42+0300,HR.1648,GX.1930,GX.1931,GX.1956,GX.1985,GX.1998,,Ok,,Ok,172/20/BOX8,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.K30ST3-141226,Pinned,,english,,"Hopkins, Tapani",15.12.2014,26.12.2014,"Medium altitude moist evergreen forest, primary forest with minimal disturbance (2-3 trees / km2 logged before 1970). 

Trap site description:
Closed canopy forest with little undergrowth. Red clay underfoot. Trap was next to a fallen decomposing tree trunk (Olea capensis 49cm diameter).

Original trap site description (verbatim as written in Uganda 2014): 
K30S slopes. Red exposed clay underfoot and several fallen rotting trees, many quite decomposed. The trap is touching a fallen tree trunk (partly solid but old) and stretches outward. Afromamum etc undergrowth which is surprisingly sparse, the site is quite shaded. This is also waypoint 216: More closed canopy than 215, similar to many northern K30 sites. K30S slopes. Fallen rotting trees. Icheumonid (A234) caught here. Trap here! Photos taken",,0.537762,30.377692,Wgs84,Gps,1483.817505,,Uganda,Kabarole district,15.12.2014 14:27 - 26.12.2014 15:41,Fort Portal,Kibale National Park,Malaise,"Site K30S, Malaise trap K30ST3, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,F,,1,,,species,Epirhyssa uelensis,"Benoit, 1951","Hopkins, Tapani",,,,,,,
utu:ZMUT,3074,2019-10-24T18:45:35+0300,HR.1990,GX.1930,GX.1931,GX.1957,GX.1986,GX.1998,,Ok,,Ok,172/1/BOX10,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.CCT1-150617,Pinned,,english,,"Hopkins, Tapani",02.06.2015,17.06.2015,"Medium altitude moist evergreen forest, primary forest with minimal disturbance (2-3 trees / km2 logged before 1970). 

Trap site description:
Tall closed canopy primary forest on a mild slope towards the river. Red clay underfoot. Fallen trees allowed some light to reach the forest floor, resulting in a lush undergrowth around the trap and large amounts of decaying wood. The trap was next to a large fallen tree (Fagara macrophylla 48cm diameter).

Original trap site description (verbatim as written in Uganda 2014): 
Trap by large fallen tree trunk (quite solid wood), CC slopes. Fairly closed canopy except round trap where fallen tree has opened the canopy a bit.Trap spans a passage in the undergrowth which crosses the trunk, and is touching the trunk at one end, Quite a few insects were flying along this route. This is also waypoint 187: CC slope. Lots of tall trees of varying kinds, but also fallen trunks and a surprising amount of light reaching the ground. As a result, also lots of saplings and undergrowth - some of the plants I haven’t seen elsewhere. Some insects flying, and there was also a kääpä (bracket fungus?) with flies landing and mating. Photos taken of the site and of the flies, plus a video of the flies.",,0.549693,30.367301,Wgs84,Gps,1454.192017,,Uganda,Kabarole district,02.06.2015 09:09 - 17.06.2015 10:22,Fort Portal,Kibale National Park,Malaise,"Site CC, Malaise trap CCT1, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,M,,1,antenna segments: 29; T1: 3.6,7.9,species,Epirhyssa quagga,"Hopkins et al., 2019","Hopkins, Tapani",Paratype,Epirhyssa quagga,"Hopkins et al., 2019",2019,Verified,https://doi.org/10.3897/zookeys.878.37845,https://doi.org/10.3897/zookeys.878.37845
utu:ZMUT,3076,2022-07-24T22:04:49+0300,HR.1648,GX.1930,GX.1931,GX.1957,GX.1986,GX.1998,,Ok,,Ok,172/20/BOX1,https://doi.org/10.1098/rsos.190913,https://doi.org/10.3897/zookeys.878.37845,http://mus.utu.fi/ZMUT.CCT1-150617,Pinned,,english,,"Hopkins, Tapani",02.06.2015,17.06.2015,"Medium altitude moist evergreen forest, primary forest with minimal disturbance (2-3 trees / km2 logged before 1970). 

Trap site description:
Tall closed canopy primary forest on a mild slope towards the river. Red clay underfoot. Fallen trees allowed some light to reach the forest floor, resulting in a lush undergrowth around the trap and large amounts of decaying wood. The trap was next to a large fallen tree (Fagara macrophylla 48cm diameter).

Original trap site description (verbatim as written in Uganda 2014): 
Trap by large fallen tree trunk (quite solid wood), CC slopes. Fairly closed canopy except round trap where fallen tree has opened the canopy a bit.Trap spans a passage in the undergrowth which crosses the trunk, and is touching the trunk at one end, Quite a few insects were flying along this route. This is also waypoint 187: CC slope. Lots of tall trees of varying kinds, but also fallen trunks and a surprising amount of light reaching the ground. As a result, also lots of saplings and undergrowth - some of the plants I haven’t seen elsewhere. Some insects flying, and there was also a kääpä (bracket fungus?) with flies landing and mating. Photos taken of the site and of the flies, plus a video of the flies.",,0.549693,30.367301,Wgs84,Gps,1454.192017,,Uganda,Kabarole district,02.06.2015 09:09 - 17.06.2015 10:22,Fort Portal,Kibale National Park,Malaise,"Site CC, Malaise trap CCT1, Kanyawara",Uganda 2014-2015,PreservedSpecimen,Adult,M,,1,,,species,Epirhyssa quagga,"Hopkins et al., 2019","Hopkins, Tapani",,,,,,,
